data,any,mes,nacional,internacional,total
2000-01-01,2000,gener,101824,36882,138706
2000-02-01,2000,febrer,113734,35631,149365
2000-03-01,2000,març,147049,60859,207908
2000-04-01,2000,abril,125925,66794,192719
2000-05-01,2000,maig,134994,70520,205514
2000-06-01,2000,juny,136136,55029,191165
2000-07-01,2000,juliol,139786,72138,211924
2000-08-01,2000,agost,138962,80504,219466
2000-09-01,2000,setembre,142252,65140,207392
2000-10-01,2000,octubre,140590,63362,203952
2000-11-01,2000,novembre,116807,42034,158841
2000-12-01,2000,desembre,106169,44149,150318
2001-01-01,2001,gener,106325,39054,145379
2001-02-01,2001,febrer,114157,44057,158214
2001-03-01,2001,març,141632,63624,205256
2001-04-01,2001,abril,131751,76323,208074
2001-05-01,2001,maig,134467,80075,214542
2001-06-01,2001,juny,137318,58604,195922
2001-07-01,2001,juliol,140302,80145,220447
2001-08-01,2001,agost,154975,82810,237785
2001-09-01,2001,setembre,145219,70702,215921
2001-10-01,2001,octubre,135986,60137,196123
2001-11-01,2001,novembre,118414,33089,151503
2001-12-01,2001,desembre,101563,28407,129970
2002-01-01,2002,gener,108071,27849,135920
2002-02-01,2002,febrer,112707,30810,143517
2002-03-01,2002,març,132670,41503,174173
2002-04-01,2002,abril,135968,50838,186806
2002-05-01,2002,maig,128719,44608,173327
2002-06-01,2002,juny,129243,46113,175356
2002-07-01,2002,juliol,139697,69356,209053
2002-08-01,2002,agost,150615,75239,225854
2002-09-01,2002,setembre,141444,62348,203792
2002-10-01,2002,octubre,134982,61939,196921
2002-11-01,2002,novembre,116560,38815,155375
2002-12-01,2002,desembre,103343,39104,142447
2003-01-01,2003,gener,108859,37488,146347
2003-02-01,2003,febrer,113461,45110,158571
2003-03-01,2003,març,137154,56658,193812
2003-04-01,2003,abril,124195,85785,209980
2003-05-01,2003,maig,120979,69138,190117
2003-06-01,2003,juny,136572,73960,210532
2003-07-01,2003,juliol,144088,89474,233562
2003-08-01,2003,agost,155555,107513,263068
2003-09-01,2003,setembre,134884,84418,219302
2003-10-01,2003,octubre,139428,80822,220250
2003-11-01,2003,novembre,136474,56199,192673
2003-12-01,2003,desembre,123965,59519,183484
2004-01-01,2004,gener,122828,55047,177875
2004-02-01,2004,febrer,136427,56041,192468
2004-03-01,2004,març,166741,83673,250414
2004-04-01,2004,abril,154158,103667,257825
2004-05-01,2004,maig,158418,100274,258692
2004-06-01,2004,juny,160596,92978,253574
2004-07-01,2004,juliol,177104,125774,302878
2004-08-01,2004,agost,195247,143315,338562
2004-09-01,2004,setembre,166305,121908,288213
2004-10-01,2004,octubre,163474,120063,283537
2004-11-01,2004,novembre,150952,97896,248848
2004-12-01,2004,desembre,138894,108833,247727
2005-01-01,2005,gener,136900,100455,237355
2005-02-01,2005,febrer,154058,117980,272038
2005-03-01,2005,març,182771,185153,367924
2005-04-01,2005,abril,191269,181614,372883
2005-05-01,2005,maig,208448,189022,397470
2005-06-01,2005,juny,219822,201133,420955
2005-07-01,2005,juliol,241929,239530,481459
2005-08-01,2005,agost,275123,276480,551603
2005-09-01,2005,setembre,237589,226801,464390
2005-10-01,2005,octubre,203366,207238,410604
2005-11-01,2005,novembre,198075,141961,340036
2005-12-01,2005,desembre,172758,144015,316773
2006-01-01,2006,gener,167403,128116,295519
2006-02-01,2006,febrer,177662,125203,302865
2006-03-01,2006,març,214095,168446,382541
2006-04-01,2006,abril,210988,215535,426523
2006-05-01,2006,maig,215588,214879,430467
2006-06-01,2006,juny,218173,225693,443866
2006-07-01,2006,juliol,230110,261129,491239
2006-08-01,2006,agost,251219,269468,520687
2006-09-01,2006,setembre,220952,239890,460842
2006-10-01,2006,octubre,219467,228012,447479
2006-11-01,2006,novembre,197410,173600,371010
2006-12-01,2006,desembre,185788,185750,371538
2007-01-01,2007,gener,187043,165146,352189
2007-02-01,2007,febrer,199076,173639,372715
2007-03-01,2007,març,242832,231152,473984
2007-04-01,2007,abril,234473,279465,513938
2007-05-01,2007,maig,236999,267487,504486
2007-06-01,2007,juny,251415,282268,533683
2007-07-01,2007,juliol,257596,326430,584026
2007-08-01,2007,agost,267540,363294,630834
2007-09-01,2007,setembre,237254,295574,532828
2007-10-01,2007,octubre,229908,292765,522673
2007-11-01,2007,novembre,222117,235131,457248
2007-12-01,2007,desembre,194235,235842,430077
2008-01-01,2008,gener,187615,203719,391334
2008-02-01,2008,febrer,222332,220030,442362
2008-03-01,2008,març,242377,297431,539808
2008-04-01,2008,abril,227837,270654,498491
2008-05-01,2008,maig,209638,296820,506458
2008-06-01,2008,juny,218678,304060,522738
2008-07-01,2008,juliol,226578,360681,587259
2008-08-01,2008,agost,242134,400983,643117
2008-09-01,2008,setembre,213089,326122,539211
2008-10-01,2008,octubre,196936,284900,481836
2008-11-01,2008,novembre,179222,134101,313323
2008-12-01,2008,desembre,169313,132218,301531
2009-01-01,2009,gener,143502,122793,266295
2009-02-01,2009,febrer,183150,120279,303429
2009-03-01,2009,març,218433,151844,370277
2009-04-01,2009,abril,205504,212925,418429
2009-05-01,2009,maig,199475,199087,398562
2009-06-01,2009,juny,202165,225366,427531
2009-07-01,2009,juliol,226445,278084,504529
2009-08-01,2009,agost,240404,304991,545395
2009-09-01,2009,setembre,199144,245966,445110
2009-10-01,2009,octubre,193430,216848,410278
2009-11-01,2009,novembre,176286,143815,320101
2009-12-01,2009,desembre,163610,156469,320079
2010-01-01,2010,gener,143292,136155,279447
2010-02-01,2010,febrer,171135,136310,307445
2010-03-01,2010,març,209588,181053,390641
2010-04-01,2010,abril,203888,199260,403148
2010-05-01,2010,maig,197597,226347,423944
2010-06-01,2010,juny,208262,243088,451350
2010-07-01,2010,juliol,215880,297038,512918
2010-08-01,2010,agost,213281,336086,549367
2010-09-01,2010,setembre,201283,262311,463594
2010-10-01,2010,octubre,196628,233950,430578
2010-11-01,2010,novembre,203345,182976,386321
2010-12-01,2010,desembre,162516,169764,332280
2011-01-01,2011,gener,139344,178970,318314
2011-02-01,2011,febrer,153958,176029,329987
2011-03-01,2011,març,193844,227903,421747
2011-04-01,2011,abril,166030,270148,436178
2011-05-01,2011,maig,155498,270168,425666
2011-06-01,2011,juny,159780,285643,445423
2011-07-01,2011,juliol,182619,342167,524786
2011-08-01,2011,agost,182936,367224,550160
2011-09-01,2011,setembre,162474,303026,465500
2011-10-01,2011,octubre,148697,273649,422346
2011-11-01,2011,novembre,133361,185890,319251
2011-12-01,2011,desembre,124517,191587,316104
2012-01-01,2012,gener,112722,173615,286337
2012-02-01,2012,febrer,124546,169155,293701
2012-03-01,2012,març,147709,219516,367225
2012-04-01,2012,abril,141115,287798,428913
2012-05-01,2012,maig,133256,280205,413461
2012-06-01,2012,juny,140560,298195,438755
2012-07-01,2012,juliol,164752,362784,527536
2012-08-01,2012,agost,167917,383069,550986
2012-09-01,2012,setembre,142847,316496,459343
2012-10-01,2012,octubre,124361,282703,407064
2012-11-01,2012,novembre,104819,184753,289572
2012-12-01,2012,desembre,106387,177676,284063
2013-01-01,2013,gener,99397,163931,263328
2013-02-01,2013,febrer,100334,163689,264023
2013-03-01,2013,març,125397,232663,358060
2013-04-01,2013,abril,122495,289827,412322
2013-05-01,2013,maig,119545,291517,411062
2013-06-01,2013,juny,124535,304753,429288
2013-07-01,2013,juliol,144963,358702,503665
2013-08-01,2013,agost,153987,377010,530997
2013-09-01,2013,setembre,125784,323906,449690
2013-10-01,2013,octubre,115850,303067,418917
2013-11-01,2013,novembre,99688,197068,296756
2013-12-01,2013,desembre,93967,181832,275799
2014-01-01,2014,gener,82871,171306,254177
2014-02-01,2014,febrer,85125,171558,256683
2014-03-01,2014,març,106051,216199,322250
2014-04-01,2014,abril,120078,294818,414896
2014-05-01,2014,maig,111982,294813,406795
2014-06-01,2014,juny,127892,304883,432775
2014-07-01,2014,juliol,141358,354090,495448
2014-08-01,2014,agost,157849,376090,533939
2014-09-01,2014,setembre,126060,319481,445541
2014-10-01,2014,octubre,115020,307457,422477
2014-11-01,2014,novembre,96792,211456,308248
2014-12-01,2014,desembre,91746,200870,292616
2015-01-01,2015,gener,82678,187805,270483
2015-02-01,2015,febrer,87580,186688,274268
2015-03-01,2015,març,115563,244306,359869
2015-04-01,2015,abril,138425,307798,446223
2015-05-01,2015,maig,128995,316842,445837
2015-06-01,2015,juny,144118,333619,477737
2015-07-01,2015,juliol,164149,383872,548021
2015-08-01,2015,agost,180633,417909,598542
2015-09-01,2015,setembre,137813,352008,489821
2015-10-01,2015,octubre,128020,333844,461864
2015-11-01,2015,novembre,103925,237329,341254
2015-12-01,2015,desembre,101539,227668,329207
2016-01-01,2016,gener,91372,215343,306715
2016-02-01,2016,febrer,102614,225440,328054
2016-03-01,2016,març,130501,290702,421203
2016-04-01,2016,abril,130686,336649,467335
2016-05-01,2016,maig,141630,372165,513795
2016-06-01,2016,juny,150070,384175,534245
2016-07-01,2016,juliol,171761,455235,626996
2016-08-01,2016,agost,190332,489462,679794
2016-09-01,2016,setembre,148436,416521,564957
2016-10-01,2016,octubre,130783,406949,537732
2016-11-01,2016,novembre,115887,288033,403920
2016-12-01,2016,desembre,110489,290163,400652
2017-01-01,2017,gener,99401,266775,366176
2017-02-01,2017,febrer,105129,258956,364085
2017-03-01,2017,març,144894,318513,463407
2017-04-01,2017,abril,167685,392194,559879
2017-05-01,2017,maig,168152,420265,588417
2017-06-01,2017,juny,183900,439011,622911
2017-07-01,2017,juliol,199578,517849,717427
2017-08-01,2017,agost,211118,542734,753852
2017-09-01,2017,setembre,172786,484934,657720
2017-10-01,2017,octubre,166184,472273,638457
2017-11-01,2017,novembre,145979,362370,508349
2017-12-01,2017,desembre,143110,345709,488819
2018-01-01,2018,gener,132253,335901,468154
2018-02-01,2018,febrer,137976,328720,466696
2018-03-01,2018,març,180574,415643,596217
2018-04-01,2018,abril,181074,483294,664368
2018-05-01,2018,maig,171598,507684,679282
2018-06-01,2018,juny,179346,510892,690238
2018-07-01,2018,juliol,206013,583755,789768
2018-08-01,2018,agost,213101,609383,822484
2018-09-01,2018,setembre,182254,542316,724570
2018-10-01,2018,octubre,179044,530310,709354
2018-11-01,2018,novembre,150702,425904,576606
2018-12-01,2018,desembre,150184,414165,564349
2019-01-01,2019,gener,140839,401130,541969
2019-02-01,2019,febrer,142500,380528,523028
2019-03-01,2019,març,186876,480176,667052
2019-04-01,2019,abril,201851,547199,749050
2019-05-01,2019,maig,191335,552043,743378
2019-06-01,2019,juny,202493,576303,778796
2019-07-01,2019,juliol,217684,638602,856286
2019-08-01,2019,agost,217863,667770,885633
2019-09-01,2019,setembre,197404,589761,787165
2019-10-01,2019,octubre,191649,573774,765423
2019-11-01,2019,novembre,171059,446818,617877
2019-12-01,2019,desembre,164973,429021,593994
